Classifier,Params,Mean Accuracy,Std Accuracy
XGBoost,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 200}",0.6886021505376344,0.06912096936238687
XGBoost,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 100}",0.6886021505376344,0.06912096936238687
XGBoost,"{'learning_rate': 0.0001, 'max_depth': 3, 'n_estimators': 500}",0.6883870967741935,0.07884705092878552
XGBoost,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 200}",0.6819354838709677,0.058908246654229966
XGBoost,"{'learning_rate': 0.001, 'max_depth': 10, 'n_estimators': 200}",0.6819354838709677,0.058908246654229966
XGBoost,"{'learning_rate': 0.001, 'max_depth': 15, 'n_estimators': 200}",0.6819354838709677,0.058908246654229966
XGBoost,"{'learning_rate': 0.0001, 'max_depth': 3, 'n_estimators': 100}",0.6817204301075269,0.07004615032200928
XGBoost,"{'learning_rate': 0.0001, 'max_depth': 3, 'n_estimators': 200}",0.6817204301075269,0.07004615032200928
XGBoost,"{'learning_rate': 0.0001, 'max_depth': 3, 'n_estimators': 300}",0.6817204301075269,0.07004615032200928
XGBoost,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 100}",0.675268817204301,0.07502880319465208
